video_label,video_id,title,channel_name,comment_id,text,parent_id,author,author_channel_id,likes,timestamp,negative,neutral,positive,compound,anger_score,disgust_score,fear_score,joy_score,neutral_score,sadness_score,surprise_score,emotion,sentiment_class,optimism_score,detected_language,translated_text,emotion_polarity,majority_emotion_polarity,emotionally_oppositional,emotionally_opposed_to_parent
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgztYKHiy-PbriWnIrR4AaABAg.ADOX0GkPcYgADePaDGdS4n," @Cuzzo317  Your little Arab media likes to mistranslate Hebrew.
They translated a Hebrew Children's song ""Yemey HaChanukah"" and turned it militaristic.

Anyway, October 7th is very much proven not to be done by Israel.. lol? It's the dumbest conspiracy.",UgztYKHiy-PbriWnIrR4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2025-02-20,0.146,0.739,0.116,-0.3321,0.019007875,0.6316128,0.003550994,0.925722361,0.030718863,0.030910995,0.007011166,disgust,negative,0.024358775,en," @Cuzzo317  Your little Arab media likes to mistranslate Hebrew.
They translated a Hebrew Children's song ""Yemey HaChanukah"" and turned it militaristic.

Anyway, October 7th is very much proven not to be done by Israel.. lol? It's the dumbest conspiracy.",negative,neutral,True,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgwKXvrbWKr0KE14_mp4AaABAg.ADMsSOX4e2tADePlGvAxGm,"It wasn't the most protected at all, at most there was about 5 Merkava tanks there with a few observation bases and a wire/concrete fence surrounding Gaza.
And it was Yom Kippur, meaning there was 70-80% less people on the border.
Calling something an Inside Job without even knowing what Yom Kippur is... is :/",UgwKXvrbWKr0KE14_mp4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2025-02-20,0.087,0.913,0.0,-0.6153,0.0279571,0.11528076,0.012165951,0.496269852,0.760558,0.463111341,0.07337693,neutral,negative,0.012661688,en,"It wasn't the most protected at all, at most there was about 5 Merkava tanks there with a few observation bases and a wire/concrete fence surrounding Gaza.
And it was Yom Kippur, meaning there was 70-80% less people on the border.
Calling something an Inside Job without even knowing what Yom Kippur is... is :/",neutral,neutral,False,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgyN40KZYFCOsBzHyup4AaABAg.ADLywmK5YCfADeQ0ESu6R8,"It's hostage negotiation.
The whole reason for October 7th was so Hamas could deal harm to Israel within its own territory and to demoralise civilians, and to gain hostages, so they can negotiate for peace if anything goes wrong with it.
Hamas finally agreed to return the Hostages, which was the Main goal of the Gaza war.
Hamas returned 3 hostages, and in return, Israel returned 90 PoW's.",UgyN40KZYFCOsBzHyup4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2025-02-20,0.129,0.761,0.11,-0.3612,0.147192523,0.038056392,0.003140021,0.797496796,0.5766501,0.040136382,0.01045053,neutral,negative,0.015174324,en,"It's hostage negotiation.
The whole reason for October 7th was so Hamas could deal harm to Israel within its own territory and to demoralise civilians, and to gain hostages, so they can negotiate for peace if anything goes wrong with it.
Hamas finally agreed to return the Hostages, which was the Main goal of the Gaza war.
Hamas returned 3 hostages, and in return, Israel returned 90 PoW's.",neutral,neutral,False,True
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgwIVdyx2up7sDgyAbF4AaABAg.ADKw0-IVSrFADeQ5lDpIEO,Gaza war was Yom Kippur War 2,UgwIVdyx2up7sDgyAbF4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2025-02-20,0.609,0.391,0.0,-0.8316,0.162497938,0.0644175,0.61488813,0.405472338,0.029294552,0.065311186,0.007764275,fear,negative,0.36671853,en,Gaza war was Yom Kippur War 2,negative,neutral,True,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgzM6Sz9zSf3OT-ywj54AaABAg.ADK7pkckE1GADeQQMujXvU," @obscurist2468  We really are, that's why we have one of the most beautiful cities, whilst Dubai, Riyadh and Cairo barely passes Worker Rights.",UgzM6Sz9zSf3OT-ywj54AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2025-02-20,0.0,0.834,0.166,0.6361,0.288442969,0.006345134,0.002047197,0.055665892,0.46174407,0.046868663,0.4902233,surprise,positive,0.60902244,en," @obscurist2468  We really are, that's why we have one of the most beautiful cities, whilst Dubai, Riyadh and Cairo barely passes Worker Rights.",neutral,neutral,False,True
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgxD8rd5R5Er7o3lzD14AaABAg.ADK1Ei8BchGADeQXgthHRh,"Hamas wasn't telling them.
Also read a thing or two about Yom Kippur, and when it takes place.",UgxD8rd5R5Er7o3lzD14AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2025-02-20,0.0,1.0,0.0,0.0,0.459015042,0.08576277,0.003745387,0.358129531,0.8596737,0.116815925,0.019168261,neutral,neutral,0.0660395,en,"Hamas wasn't telling them.
Also read a thing or two about Yom Kippur, and when it takes place.",neutral,neutral,False,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgxQGgbpQpBSe1DLVKZ4AaABAg.ADK0X2riIh2ADeQdji4IX1,"Israel already had probable cause to destroy Gaza due to prior rocket attacks.
Again, read about Yom Kippur.",UgxQGgbpQpBSe1DLVKZ4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,1,2025-02-20,0.286,0.714,0.0,-0.7506,0.099821396,0.08295363,0.5715752,0.845317423,0.0726256,0.041727666,0.00308942,fear,negative,0.013133487,en,"Israel already had probable cause to destroy Gaza due to prior rocket attacks.
Again, read about Yom Kippur.",negative,neutral,True,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,Ugytp1WHhEd2f12CHP94AaABAg.AD8S5XyimptADeQmYX6ArW,"@ahmedhasan4966 That would be the Arab invasion of Israel, which caused Nakba.",Ugytp1WHhEd2f12CHP94AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,1,2025-02-20,0.0,1.0,0.0,0.0,0.044421509,0.0717629,0.5101348,0.87267983,0.167117,0.072980665,0.025198767,fear,neutral,0.009918056,en,"@ahmedhasan4966 That would be the Arab invasion of Israel, which caused Nakba.",negative,neutral,True,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,Ugzu49vM0CzVNu0yG-94AaABAg.AD-zAsESLQdADeRCszpIf-,Fun fact: Palestinians originate from the Philistinians.. who come from Crete... Greece.,Ugzu49vM0CzVNu0yG-94AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,1,2025-02-20,0.0,0.769,0.231,0.5106,0.092293054,0.009409782,0.004794329,0.028640026,0.8297474,0.035444029,0.10117185,neutral,positive,0.8436228,en,Fun fact: Palestinians originate from the Philistinians.. who come from Crete... Greece.,neutral,neutral,False,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,Ugzu49vM0CzVNu0yG-94AaABAg.AD-zAsESLQdADeeaOHJjpm,@ It's called Israel,Ugzu49vM0CzVNu0yG-94AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,1,2025-02-20,0.0,1.0,0.0,0.0,0.185490787,0.001787389,0.02360139,0.389463514,0.43630442,0.123005405,0.41023582,neutral,neutral,0.3020403,en,@ It's called Israel,neutral,neutral,False,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,Ugzu49vM0CzVNu0yG-94AaABAg.AD-zAsESLQdADi5_ybekjW, @fandihaekal  No I don't remember that,Ugzu49vM0CzVNu0yG-94AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2025-02-20,0.355,0.645,0.0,-0.296,0.026037997,0.09014773,0.033072207,0.099932924,0.41258237,0.817602813,0.4067789,neutral,negative,0.056426283,en, @fandihaekal  No I don't remember that,neutral,neutral,False,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgzJ1M2eI5UEfsbGw0Z4AaABAg.ACwMVwpeH1XADeRFCyOwvk,Grow up,UgzJ1M2eI5UEfsbGw0Z4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2025-02-20,0.0,1.0,0.0,0.0,0.769416273,0.08316407,0.009729845,0.095459729,0.039259605,0.047408577,0.003655704,anger,neutral,0.08771535,pl,Grow up,negative,neutral,True,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgzJ1M2eI5UEfsbGw0Z4AaABAg.ACwMVwpeH1XADgZs6XZ6lD, @budselectgoesoff  Know quite alot of English then,UgzJ1M2eI5UEfsbGw0Z4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2025-02-20,0.0,1.0,0.0,0.0,0.128426775,0.0071752,0.005169392,0.127579227,0.88923526,0.07030201,0.06863592,neutral,neutral,0.673692,en, @budselectgoesoff  Know quite alot of English then,neutral,neutral,False,True
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgylvCydZuWd0BsCemh4AaABAg.ACdfk2GpMRmACgSGtADltq,Kinda sounds like how hamas don't care about gaza,UgylvCydZuWd0BsCemh4AaABAg,user 30,UC8PhXy1UKJ1LNg4nUH7HLRg,1,2025-01-20,0.222,0.591,0.187,-0.1043,0.019346364,0.5205466,0.004441277,0.838256598,0.26299164,0.109525144,0.040352795,disgust,negative,0.032871943,en,Kinda sounds like how hamas don't care about gaza,negative,neutral,True,True
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgxXWyyEh0EwIwS32v54AaABAg.ACd2vjWUCTxACgSKdgnhvd,Did you just justified the holocaust?,UgxXWyyEh0EwIwS32v54AaABAg,user 30,UC8PhXy1UKJ1LNg4nUH7HLRg,1,2025-01-20,0.0,0.649,0.351,0.4019,0.031300738,0.1279807,0.03025432,0.905673802,0.15247682,0.043110512,0.4691339,surprise,positive,0.019915013,en,Did you just justified the holocaust?,neutral,neutral,False,False
Video 2,Ulg-96K3qMc,Hamas's October 7 Attack: A Minute-by-Minute Breakdown,The Military Show,UgxwIE5rjzafbqgN5Eh4AaABAg.ACXFTOw9pKNACgSlwKXWUK,"Sure mate, a prison with hospitals, markets, schools, universities,  factories, resorts, tourism, active trading (even with israel till not so long ago), a beach, a port, and plenty of artוllery. Or at least that's how it used to be till they blew it with their reckless temper tantrums.",UgxwIE5rjzafbqgN5Eh4AaABAg,user 30,UC8PhXy1UKJ1LNg4nUH7HLRg,0,2025-01-20,0.194,0.72,0.086,-0.743,0.095457941,0.09461287,0.004232402,0.773568213,0.5564237,0.022348506,0.014807466,neutral,negative,0.10862531,en,"Sure mate, a prison with hospitals, markets, schools, universities,  factories, resorts, tourism, active trading (even with israel till not so long ago), a beach, a port, and plenty of artוllery. Or at least that's how it used to be till they blew it with their reckless temper tantrums.",neutral,neutral,False,False
Video 4,GmZnL0-jz7s,Ambush at intersection near Sderot during Hamas attack in Israel | Traffic cam video,11Alive,UgznXHm1P0nDa-NGArl4AaABAg.A8629aBgbVJA8xAxlNfz7B,❤❤❤❤❤,UgznXHm1P0nDa-NGArl4AaABAg,user 583,UC2kWl1ASswv3kb8FSD0LRZA,0,2024-10-20,0.0,0.192,0.808,0.9719,0.014811346,0.069869675,0.18678918,0.013986986,0.61895365,0.015271595,0.008772385,neutral,positive,0.95593,error,❤❤❤❤❤,neutral,neutral,False,False
Video 4,GmZnL0-jz7s,Ambush at intersection near Sderot during Hamas attack in Israel | Traffic cam video,11Alive,UgznXHm1P0nDa-NGArl4AaABAg.A8629aBgbVJA9HmfmOwDTz,Said the orc from mordor,UgznXHm1P0nDa-NGArl4AaABAg,user 585,UCtrVDGWeKhQRK0rjMbF4jrQ,2,2024-10-20,0.0,1.0,0.0,0.0,0.063237578,0.6074918,0.07487615,0.749060571,0.21715643,0.106860518,0.011030888,disgust,neutral,0.080841295,en,Said the orc from mordor,negative,neutral,True,True
Video 4,GmZnL0-jz7s,Ambush at intersection near Sderot during Hamas attack in Israel | Traffic cam video,11Alive,UgyKC93Prhpc2oudv-94AaABAg.A62rTv4jXdBA9JC46-Iq9p,"It's not that Islam is bad, it's that it's easily manipulated and can turn people extremist.",UgyKC93Prhpc2oudv-94AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2024-10-20,0.284,0.605,0.112,-0.5719,0.141117215,0.3108791,0.059734814,0.764441371,0.5409055,0.084669441,0.004908781,neutral,negative,0.009771952,en,"It's not that Islam is bad, it's that it's easily manipulated and can turn people extremist.",neutral,neutral,False,False
Video 4,GmZnL0-jz7s,Ambush at intersection near Sderot during Hamas attack in Israel | Traffic cam video,11Alive,UgxN2vnY27Upv_1iFtt4AaABAg.A41Rl1xX1VXA9HmnQ0M7EY,"No, this is Hamas. But you are too ignorant to understand the difference because you support Nazis",UgxN2vnY27Upv_1iFtt4AaABAg,user 585,UCtrVDGWeKhQRK0rjMbF4jrQ,0,2024-10-20,0.125,0.708,0.167,0.2263,0.034776531,0.5474432,0.007487762,0.933484495,0.18214072,0.024494693,0.006340866,disgust,positive,0.007244266,en,"No, this is Hamas. But you are too ignorant to understand the difference because you support Nazis",negative,neutral,True,False
Video 4,GmZnL0-jz7s,Ambush at intersection near Sderot during Hamas attack in Israel | Traffic cam video,11Alive,Ugyr3w_nGIx0x-MsQBJ4AaABAg.9wFiJYT_1Qx9wQyTMbzj3T,Only muslims/palesitnazis that also deny the Holocaust,Ugyr3w_nGIx0x-MsQBJ4AaABAg,user 585,UCtrVDGWeKhQRK0rjMbF4jrQ,0,2024-03-20,0.286,0.714,0.0,-0.34,0.048300505,0.08344494,0.009926939,0.822316766,0.83695555,0.111771539,0.010915686,neutral,negative,0.017611202,en,Only muslims/palesitnazis that also deny the Holocaust,neutral,neutral,False,True
Video 4,GmZnL0-jz7s,Ambush at intersection near Sderot during Hamas attack in Israel | Traffic cam video,11Alive,Ugwr5ZO1SPUYFZGrgb54AaABAg.9wChBcf1p6fA8-921QT2bj, @Magdyy there is hamas at West Bank and Lebanon Iraq Iran as well,Ugwr5ZO1SPUYFZGrgb54AaABAg,user 808,UCHM71I5EgoMoYaU6mh-MizQ,2,2024-09-20,0.0,0.84,0.16,0.2732,0.096342131,0.008588661,0.013063169,0.620069087,0.8600296,0.197723135,0.06481398,neutral,positive,0.08586562,en, @Magdyy there is hamas at West Bank and Lebanon Iraq Iran as well,neutral,neutral,False,True
Video 4,GmZnL0-jz7s,Ambush at intersection near Sderot during Hamas attack in Israel | Traffic cam video,11Alive,UgxDNUmkuQNoKsn0Oxd4AaABAg.9wBEei4xeiT9wQyQbyoTcf,Religion of peace strikes again. Cancer..,UgxDNUmkuQNoKsn0Oxd4AaABAg,user 585,UCtrVDGWeKhQRK0rjMbF4jrQ,0,2024-03-20,0.515,0.224,0.261,-0.5267,0.080716193,0.06967453,0.074520096,0.421788007,0.24789378,0.484007686,0.030763552,sadness,negative,0.013488071,en,Religion of peace strikes again. Cancer..,negative,neutral,True,True
Video 7,7X2aL06hUqs,Israeli army releases unseen footage of Oct 7 attacks on first anniversary,The Telegraph,Ugzibv_3er3sEKkxvJp4AaABAg.A9yIWMLaB5SADLxaeWUCcg,We the people of Israel love the people of Syria! May we one day meet,Ugzibv_3er3sEKkxvJp4AaABAg,user 30,UC8PhXy1UKJ1LNg4nUH7HLRg,0,2025-01-20,0.0,0.757,0.243,0.6696,0.479304343,0.016279198,0.003785868,0.044017468,0.048719708,0.037871689,0.004698776,joy,positive,0.4388066,en,We the people of Israel love the people of Syria! May we one day meet,positive,neutral,True,True
Video 7,7X2aL06hUqs,Israeli army releases unseen footage of Oct 7 attacks on first anniversary,The Telegraph,UgxCr8VqcB8lG87XXul4AaABAg.A9IhUiANwmoA9RQfqiJC0G,Impressive. Non of those replies actually answered that question.,UgxCr8VqcB8lG87XXul4AaABAg,user 30,UC8PhXy1UKJ1LNg4nUH7HLRg,11,2024-10-20,0.0,0.708,0.292,0.5106,0.601814091,0.30761874,0.003985437,0.156927079,0.14464246,0.060858674,0.4983136,surprise,positive,0.18040018,en,Impressive. Non of those replies actually answered that question.,neutral,neutral,False,True
Video 7,7X2aL06hUqs,Israeli army releases unseen footage of Oct 7 attacks on first anniversary,The Telegraph,Ugz6baP73REsyyH2P6Z4AaABAg.A9I9AeeToECA9IRcJ9ec_8,"Wasn’t Gaza a tourist destination before October 7th? Strange how people want to visit concentration camps.
Not even to mention that Gazans worked in Israel for money.",Ugz6baP73REsyyH2P6Z4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,6,2024-10-20,0.064,0.89,0.046,-0.128,0.027003776,0.016674869,0.005743853,0.816043258,0.047145583,0.136742681,0.9181391,surprise,negative,0.020210298,en,"Wasn’t Gaza a tourist destination before October 7th? Strange how people want to visit concentration camps.
Not even to mention that Gazans worked in Israel for money.",neutral,neutral,False,True
Video 7,7X2aL06hUqs,Israeli army releases unseen footage of Oct 7 attacks on first anniversary,The Telegraph,UgxS66ERtjeT3O18B6J4AaABAg.A9I6emGdg7QA9IS4_9lTvL, @sajid1979 Arabs helped expel Jews out of the Middle East and they are doing it again,UgxS66ERtjeT3O18B6J4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,0,2024-10-20,0.172,0.828,0.0,-0.4404,0.020249706,0.3536218,0.016365092,0.944826603,0.31308556,0.024393007,0.007294202,disgust,negative,0.010530757,en, @sajid1979 Arabs helped expel Jews out of the Middle East and they are doing it again,negative,neutral,True,True
Video 7,7X2aL06hUqs,Israeli army releases unseen footage of Oct 7 attacks on first anniversary,The Telegraph,Ugx02oeZhaKXOFJfGCJ4AaABAg.A9I3tpuqzXTA9ISIAfipxy,Because October 7th haven’t even been fully reviewed (also this drone got severely damaged),Ugx02oeZhaKXOFJfGCJ4AaABAg,user 56,UCkM2BDng1MCygBssIlAEPZg,5,2024-10-20,0.33,0.67,0.0,-0.7096,0.025805367,0.07394945,0.009072932,0.353817731,0.43396503,0.603363574,0.10856541,neutral,negative,0.01701328,en,Because October 7th haven’t even been fully reviewed (also this drone got severely damaged),neutral,neutral,False,True
Video 9,mr_Znhh7bWQ,Moment Hamas militants take civilian hostage in Israel,The Times and The Sunday Times,UgyPtHtpTYfgyae-N-54AaABAg.A5KMjUAf5ThAEJHFwoJ1BP, @NorthStarInfo  one side won. The other is crying genocide now,UgyPtHtpTYfgyae-N-54AaABAg,user 55,UCxHWTaDQGpRD_yNm_5OeDKQ,5,2025-02-20,0.225,0.507,0.268,0.1531,0.018568549,0.4009558,0.015453056,0.191574082,0.2353299,0.772166908,0.004668493,disgust,positive,0.01769046,en, @NorthStarInfo  one side won. The other is crying genocide now,negative,neutral,True,False
Video 9,mr_Znhh7bWQ,Moment Hamas militants take civilian hostage in Israel,The Times and The Sunday Times,Ugwt6p6tErOtsDs-Nzh4AaABAg.A4QzdgnmCkwA6GoKUSmn7H, @GoldFoxsAdmin hamas took the idf after they killed soldiers unfortunately,Ugwt6p6tErOtsDs-Nzh4AaABAg,user 808,UCHM71I5EgoMoYaU6mh-MizQ,0,2024-08-20,0.496,0.504,0.0,-0.7845,0.021972526,0.009473354,0.007955414,0.381608009,0.021246366,0.586388469,0.007623797,sadness,negative,0.010031053,en, @GoldFoxsAdmin hamas took the idf after they killed soldiers unfortunately,negative,neutral,True,True
Video 9,mr_Znhh7bWQ,Moment Hamas militants take civilian hostage in Israel,The Times and The Sunday Times,Ugwt6p6tErOtsDs-Nzh4AaABAg.A4QzdgnmCkwA6GoNXCmt3g, @GoldFoxsAdmin Hamas took the idf gear after killing soldiers,Ugwt6p6tErOtsDs-Nzh4AaABAg,user 808,UCHM71I5EgoMoYaU6mh-MizQ,1,2024-08-20,0.386,0.614,0.0,-0.6597,0.025567874,0.42303523,0.005397195,0.914109468,0.008420878,0.049689706,0.001497114,anger,negative,0.010632902,en, @GoldFoxsAdmin Hamas took the idf gear after killing soldiers,negative,neutral,True,True
Video 9,mr_Znhh7bWQ,Moment Hamas militants take civilian hostage in Israel,The Times and The Sunday Times,Ugxmd3wcuL5EF-4Ny4J4AaABAg.A3DB2-OxkXgA3MOieneIcG,You know there are israeli arabs right?,Ugxmd3wcuL5EF-4Ny4J4AaABAg,user 30,UC8PhXy1UKJ1LNg4nUH7HLRg,0,2024-05-20,0.0,1.0,0.0,0.0,0.139225125,0.019117767,0.00210317,0.542523503,0.888546,0.078971244,0.057003025,neutral,neutral,0.23928015,en,You know there are israeli arabs right?,neutral,neutral,False,False
