Source,Target
UgzKUlRSC9rBkB70_Np4AaABAg.AD35i3FttOQADWOYRi9qKx,UgzKUlRSC9rBkB70_Np4AaABAg
UgzKUlRSC9rBkB70_Np4AaABAg.AD35i3FttOQADgMz_ckw_0,UgzKUlRSC9rBkB70_Np4AaABAg
UgzKUlRSC9rBkB70_Np4AaABAg.AD35i3FttOQADgxCOlj45-,UgzKUlRSC9rBkB70_Np4AaABAg
UgzKUlRSC9rBkB70_Np4AaABAg.AD35i3FttOQAEKph0KKfiT,UgzKUlRSC9rBkB70_Np4AaABAg
Ugzu49vM0CzVNu0yG-94AaABAg.AD-zAsESLQdADBBrYM92EB,Ugzu49vM0CzVNu0yG-94AaABAg
Ugzu49vM0CzVNu0yG-94AaABAg.AD-zAsESLQdADBD--dBahY,Ugzu49vM0CzVNu0yG-94AaABAg
Ugzu49vM0CzVNu0yG-94AaABAg.AD-zAsESLQdADeRCszpIf-,Ugzu49vM0CzVNu0yG-94AaABAg
Ugzu49vM0CzVNu0yG-94AaABAg.AD-zAsESLQdADeeaOHJjpm,Ugzu49vM0CzVNu0yG-94AaABAg
Ugzu49vM0CzVNu0yG-94AaABAg.AD-zAsESLQdADfAT4HFUrm,Ugzu49vM0CzVNu0yG-94AaABAg
Ugzu49vM0CzVNu0yG-94AaABAg.AD-zAsESLQdADi5_ybekjW,Ugzu49vM0CzVNu0yG-94AaABAg
Ugzu49vM0CzVNu0yG-94AaABAg.AD-zAsESLQdADi6q1YXw18,Ugzu49vM0CzVNu0yG-94AaABAg
UgzJ1M2eI5UEfsbGw0Z4AaABAg.ACwMVwpeH1XADgTUhzpEdi,UgzJ1M2eI5UEfsbGw0Z4AaABAg
UgzJ1M2eI5UEfsbGw0Z4AaABAg.ACwMVwpeH1XADgZs6XZ6lD,UgzJ1M2eI5UEfsbGw0Z4AaABAg
UgzJ1M2eI5UEfsbGw0Z4AaABAg.ACwMVwpeH1XADg_CgCl_T3,UgzJ1M2eI5UEfsbGw0Z4AaABAg
Ugzwf02b8dHJJsF8ESl4AaABAg.ACvlTlimrXdADBCFTcXN9M,Ugzwf02b8dHJJsF8ESl4AaABAg
Ugzwf02b8dHJJsF8ESl4AaABAg.ACvlTlimrXdADgNL8Eb05R,Ugzwf02b8dHJJsF8ESl4AaABAg
UgxZZ9egORBQJQWb1ZV4AaABAg.ACulzeAGQvHADJCI4IZCf9,UgxZZ9egORBQJQWb1ZV4AaABAg
UgxZZ9egORBQJQWb1ZV4AaABAg.ACulzeAGQvHAEM3R9rcifg,UgxZZ9egORBQJQWb1ZV4AaABAg
Ugw6owUIm5asY0i8rjB4AaABAg.ACnW848EuzYADSGiZUOk8t,Ugw6owUIm5asY0i8rjB4AaABAg
Ugw6owUIm5asY0i8rjB4AaABAg.ACnW848EuzYAEUgZ0BopAp,Ugw6owUIm5asY0i8rjB4AaABAg
Ugw6owUIm5asY0i8rjB4AaABAg.ACnW848EuzYAEVtUvuNmlm,Ugw6owUIm5asY0i8rjB4AaABAg
Ugw6owUIm5asY0i8rjB4AaABAg.ACnW848EuzYAEVtjoeTDNJ,Ugw6owUIm5asY0i8rjB4AaABAg
UgylvCydZuWd0BsCemh4AaABAg.ACdfk2GpMRmACgSGtADltq,UgylvCydZuWd0BsCemh4AaABAg
UgylvCydZuWd0BsCemh4AaABAg.ACdfk2GpMRmAFNb-DQfgmc,UgylvCydZuWd0BsCemh4AaABAg
UgxXWyyEh0EwIwS32v54AaABAg.ACd2vjWUCTxACgSKdgnhvd,UgxXWyyEh0EwIwS32v54AaABAg
UgxH4GmiC7vZjDaxYN54AaABAg.ACbEbOFdsj0ACdjaqTfQWN,UgxH4GmiC7vZjDaxYN54AaABAg
UgxH4GmiC7vZjDaxYN54AaABAg.ACbEbOFdsj0ACfUQusOydb,UgxH4GmiC7vZjDaxYN54AaABAg
UgxH4GmiC7vZjDaxYN54AaABAg.ACbEbOFdsj0AFKxmYzJF3S,UgxH4GmiC7vZjDaxYN54AaABAg
UgziNmxwYZ5MSs_pFgB4AaABAg.AC_GnRTz1FZACxN57aNXxf,UgziNmxwYZ5MSs_pFgB4AaABAg
UgxwIE5rjzafbqgN5Eh4AaABAg.ACXFTOw9pKNACgSlwKXWUK,UgxwIE5rjzafbqgN5Eh4AaABAg
UgyzskcoDdbiyLSh_2J4AaABAg.ACUx4sAIZVEACVLwCOEcn5,UgyzskcoDdbiyLSh_2J4AaABAg
UgyzskcoDdbiyLSh_2J4AaABAg.ACUx4sAIZVEACW9TaOZgrO,UgyzskcoDdbiyLSh_2J4AaABAg
UgyzskcoDdbiyLSh_2J4AaABAg.ACUx4sAIZVEACdpEfCCi7f,UgyzskcoDdbiyLSh_2J4AaABAg
UgyzskcoDdbiyLSh_2J4AaABAg.ACUx4sAIZVEACscQiKpIrX,UgyzskcoDdbiyLSh_2J4AaABAg
UgyzskcoDdbiyLSh_2J4AaABAg.ACUx4sAIZVEACxNJldioA8,UgyzskcoDdbiyLSh_2J4AaABAg
Ugynk1li6SpWcTZ5wVZ4AaABAg.ACUrXngYdxnACUvicOBMht,Ugynk1li6SpWcTZ5wVZ4AaABAg
Ugynk1li6SpWcTZ5wVZ4AaABAg.ACUrXngYdxnACwHzQAleoS,Ugynk1li6SpWcTZ5wVZ4AaABAg
Ugws9-nDPzLujzbcHop4AaABAg.ACUWFh7gqvgACW75CbQ_BN,Ugws9-nDPzLujzbcHop4AaABAg
Ugws9-nDPzLujzbcHop4AaABAg.ACUWFh7gqvgACdHF6H-5vE,Ugws9-nDPzLujzbcHop4AaABAg
Ugws9-nDPzLujzbcHop4AaABAg.ACUWFh7gqvgADRouaw6xM-,Ugws9-nDPzLujzbcHop4AaABAg
UgxtNjreZWPO0BS45Y14AaABAg.ACT23wJzvbKADM_oMF0rNY,UgxtNjreZWPO0BS45Y14AaABAg
UgxOz4DHD6Cr2lP683l4AaABAg.ACOMLQbDmhiACW7CGHFKGh,UgxOz4DHD6Cr2lP683l4AaABAg
Ugw0C5pXWAtwY05KT894AaABAg.ACKnOOkyuEWACTxN5QGmPy,Ugw0C5pXWAtwY05KT894AaABAg
Ugz2iX2yuZxslunlUmZ4AaABAg.ACKHILq84dkACWWkT6N3wN,Ugz2iX2yuZxslunlUmZ4AaABAg
UgzEniV6YKs81H8EKF54AaABAg.ACJqH4gGEJ2ACTxdvLoNvS,UgzEniV6YKs81H8EKF54AaABAg
UgzEniV6YKs81H8EKF54AaABAg.ACJqH4gGEJ2ACUiqDqxY_v,UgzEniV6YKs81H8EKF54AaABAg
UgzEniV6YKs81H8EKF54AaABAg.ACJqH4gGEJ2ACW7ItYe--e,UgzEniV6YKs81H8EKF54AaABAg
UgzEniV6YKs81H8EKF54AaABAg.ACJqH4gGEJ2ADRoy7wWoVq,UgzEniV6YKs81H8EKF54AaABAg
UgyPmvZxgoyTjwpLl1R4AaABAg.ACJo0GXIV6bACzHoFVu8q4,UgyPmvZxgoyTjwpLl1R4AaABAg
UgyPmvZxgoyTjwpLl1R4AaABAg.ACJo0GXIV6bADpHOPKk7rG,UgyPmvZxgoyTjwpLl1R4AaABAg
UgyPmvZxgoyTjwpLl1R4AaABAg.ACJo0GXIV6bAEL4jF96Wwi,UgyPmvZxgoyTjwpLl1R4AaABAg
UgyPmvZxgoyTjwpLl1R4AaABAg.ACJo0GXIV6bAESaPBREX5e,UgyPmvZxgoyTjwpLl1R4AaABAg
UgyPmvZxgoyTjwpLl1R4AaABAg.ACJo0GXIV6bAEavzmSfVcS,UgyPmvZxgoyTjwpLl1R4AaABAg
Ugzx8o6LLttEU3-oRNN4AaABAg.ACFORTFgeF6ACTywsVoG9M,Ugzx8o6LLttEU3-oRNN4AaABAg
Ugz-Y3hmrgLHFXMUojN4AaABAg.ABybCR_8bZnACvnd47NB3b,Ugz-Y3hmrgLHFXMUojN4AaABAg
UgyGb5vnizP9xs92M9V4AaABAg.ABxvhcyewg6ADiIdfctgZM,UgyGb5vnizP9xs92M9V4AaABAg
UgzkfxNixF2Xa3YYOih4AaABAg.ABvHFQVsuUIADiHlOczL7F,UgzkfxNixF2Xa3YYOih4AaABAg
UgzkfxNixF2Xa3YYOih4AaABAg.ABvHFQVsuUIADoWwvwh4En,UgzkfxNixF2Xa3YYOih4AaABAg
UgzkfxNixF2Xa3YYOih4AaABAg.ABvHFQVsuUIADt7N-qaouX,UgzkfxNixF2Xa3YYOih4AaABAg
UgzkfxNixF2Xa3YYOih4AaABAg.ABvHFQVsuUIAETpUH4MdUX,UgzkfxNixF2Xa3YYOih4AaABAg
UgwKulARG-tDvIeBG614AaABAg.ABiHWEyYngmABrtMhkN6vg,UgwKulARG-tDvIeBG614AaABAg
UgwstQQ_eSr8bECg4zF4AaABAg.ABfs4mg9JApACKhTzKKeh8,UgwstQQ_eSr8bECg4zF4AaABAg
UgwstQQ_eSr8bECg4zF4AaABAg.ABfs4mg9JApACdHnC7KhUL,UgwstQQ_eSr8bECg4zF4AaABAg
UgxyfQR9dZ8X4ruCwS94AaABAg.ABcYPjxvfY8ACW7XCpYoSN,UgxyfQR9dZ8X4ruCwS94AaABAg
UgxDdadY-iTherqvUKV4AaABAg.AB_cG-eu_37AB_n1FkuUrf,UgxDdadY-iTherqvUKV4AaABAg
UgxDdadY-iTherqvUKV4AaABAg.AB_cG-eu_37ACW7eawX4ej,UgxDdadY-iTherqvUKV4AaABAg
Ugz6fsyGR-ZT80TeuOV4AaABAg.ABZ5tUvxfP5AB_nB6jDeyJ,Ugz6fsyGR-ZT80TeuOV4AaABAg
Ugz6fsyGR-ZT80TeuOV4AaABAg.ABZ5tUvxfP5ABaEqzJbFX1,Ugz6fsyGR-ZT80TeuOV4AaABAg
Ugz6fsyGR-ZT80TeuOV4AaABAg.ABZ5tUvxfP5ACW7jrDvRZT,Ugz6fsyGR-ZT80TeuOV4AaABAg
UgyCYV-IFrZVQyVitWd4AaABAg.ABXFw-3NYN6ACW7qpQFNXQ,UgyCYV-IFrZVQyVitWd4AaABAg
UgyCYV-IFrZVQyVitWd4AaABAg.ABXFw-3NYN6ACdHvpnHItX,UgyCYV-IFrZVQyVitWd4AaABAg
UgyCYV-IFrZVQyVitWd4AaABAg.ABXFw-3NYN6ACdHzGW4scX,UgyCYV-IFrZVQyVitWd4AaABAg
Ugw6Q-MurZL5y7MuwlF4AaABAg.ABVEonTkoLTABWEXrLpbXW,Ugw6Q-MurZL5y7MuwlF4AaABAg
Ugw6Q-MurZL5y7MuwlF4AaABAg.ABVEonTkoLTAB_7Vv-UJos,Ugw6Q-MurZL5y7MuwlF4AaABAg
UgzVvrSsz25DVFSUOqd4AaABAg.ABQlVjBvbeOABWEaaeu0uN,UgzVvrSsz25DVFSUOqd4AaABAg
UgzVvrSsz25DVFSUOqd4AaABAg.ABQlVjBvbeOABWiSzOcpWy,UgzVvrSsz25DVFSUOqd4AaABAg
UgzVvrSsz25DVFSUOqd4AaABAg.ABQlVjBvbeOACKhf7Del2c,UgzVvrSsz25DVFSUOqd4AaABAg
Ugzn4badwcf7HtPC0454AaABAg.ABQSPtrva1kAB_bpYBXxWF,Ugzn4badwcf7HtPC0454AaABAg
Ugzss8yEUI7xNEKazmd4AaABAg.ABMzpQCM5_DABWEk9ff-PG,Ugzss8yEUI7xNEKazmd4AaABAg
Ugzss8yEUI7xNEKazmd4AaABAg.ABMzpQCM5_DABWFCMqIr2e,Ugzss8yEUI7xNEKazmd4AaABAg
Ugzss8yEUI7xNEKazmd4AaABAg.ABMzpQCM5_DABWFXVBRDAF,Ugzss8yEUI7xNEKazmd4AaABAg
Ugzss8yEUI7xNEKazmd4AaABAg.ABMzpQCM5_DABWFqgynvEK,Ugzss8yEUI7xNEKazmd4AaABAg
UgxiC5TqGTfFNOLADol4AaABAg.ABMKkvutaQYABWEsjR9Ynq,UgxiC5TqGTfFNOLADol4AaABAg
UgxiC5TqGTfFNOLADol4AaABAg.ABMKkvutaQYABWj_J6R8sb,UgxiC5TqGTfFNOLADol4AaABAg
UgxiC5TqGTfFNOLADol4AaABAg.ABMKkvutaQYABWoL0Q5Dmr,UgxiC5TqGTfFNOLADol4AaABAg
UgxiC5TqGTfFNOLADol4AaABAg.ABMKkvutaQYAEkntSrbTzf,UgxiC5TqGTfFNOLADol4AaABAg
UgxiC5TqGTfFNOLADol4AaABAg.ABMKkvutaQYAElWybs0KRI,UgxiC5TqGTfFNOLADol4AaABAg
UgxiC5TqGTfFNOLADol4AaABAg.ABMKkvutaQYAElk2HPHwju,UgxiC5TqGTfFNOLADol4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ABMqUPgmJVh,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ABa5zx5Lebw,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACW83mWRZLs,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXG0L58Bty,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXGHyVsTK2,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXGnIh4nC-,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXI03wM3qP,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXIOV8VLD1,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXIcsxd6fg,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXIr9459gB,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXJ2BpLily,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXJATHxxD3,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXJJm5crR3,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXKelAUyME,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXLgA2ssSz,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXMsFfIhwS,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXN496RPzC,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXOCthJPmI,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXOwGG_15s,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACXPVoZasHo,Ugz84TA29XtpPCCDYXR4AaABAg
Ugz84TA29XtpPCCDYXR4AaABAg.ABLvWklKXF0ACwHwh54S4v,Ugz84TA29XtpPCCDYXR4AaABAg
UgwKi_3wGEEORKnzSfN4AaABAg.ABL9Eo06C0kABMqXe88MmL,UgwKi_3wGEEORKnzSfN4AaABAg
UgwKi_3wGEEORKnzSfN4AaABAg.ABL9Eo06C0kACwGoz4VQKH,UgwKi_3wGEEORKnzSfN4AaABAg
UgwKi_3wGEEORKnzSfN4AaABAg.ABL9Eo06C0kADRpKRqxd70,UgwKi_3wGEEORKnzSfN4AaABAg
UgwKi_3wGEEORKnzSfN4AaABAg.ABL9Eo06C0kADTegk-t_Lb,UgwKi_3wGEEORKnzSfN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEAC4Uz_vzrdl,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEACeYBhrI48_,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEACuIFbMNFUX,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEACuVztzY7Nh,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEACwtDk2Oti3,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEACzHQfMls4k,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEAD-747q6HyO,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEAD-LaSkLraX,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEAD0GFzTCPc9,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEAD77HQKuTqH,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEAD8AH9H2UWA,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEAD8Ac0jCgT3,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEADSTJ6ntohl,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEADaAWwJ_HnR,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEADanjR9ET1b,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEADg9q9UTUmD,UgzvPckT8pZW20ikfdN4AaABAg
UgzvPckT8pZW20ikfdN4AaABAg.ABJysDbCcrEADt8MxvmNHT,UgzvPckT8pZW20ikfdN4AaABAg
